Using license file /spack/apps/linux-centos7-x86_64/gcc-8.3.0/gurobi-9.0.1/license/gurobi.lic
Set parameter TokenServer to value hpc-licenses.hpcc.usc.edu
Changed value of parameter TimeLimit to 3600.0
   Prev: inf  Min: 0.0  Max: inf  Default: inf
Gurobi Optimizer version 9.0.1 build v9.0.1rc0 (linux64)
Optimize a model with 87627 rows, 24380 columns and 324759 nonzeros
Model fingerprint: 0xab547de9
Model has 500 quadratic objective terms
Variable types: 16548 continuous, 7832 integer (7832 binary)
Coefficient statistics:
  Matrix range     [2e-03, 3e+02]
  Objective range  [9e-03, 1e+00]
  QObjective range [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 3e+02]
Presolve removed 6884 rows and 6285 columns
Presolve time: 1.36s
Presolved: 80743 rows, 18095 columns, 252449 nonzeros
Presolved model has 500 quadratic objective terms
Variable types: 16354 continuous, 1741 integer (1741 binary)
Found heuristic solution: objective 104.5753469

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
  635972    1.8025829e+03   5.426503e+00   0.000000e+00    885s
  638627    1.8025829e+03   6.962743e+00   0.000000e+00    890s
  641636    1.8025829e+03   5.833673e+00   0.000000e+00    895s
  644645    1.8025829e+03   6.844600e+00   0.000000e+00    900s
  647477    1.8025829e+03   8.212180e+00   0.000000e+00    905s
  650309    1.8025829e+03   7.992915e+00   0.000000e+00    910s
  653141    1.8025829e+03   6.345416e+00   0.000000e+00    915s
  655973    1.8025829e+03   8.131818e+00   0.000000e+00    920s
  658628    1.8025829e+03   5.728306e+00   0.000000e+00    925s
  661460    1.8025829e+03   1.013604e+01   0.000000e+00    930s
  664292    1.8025829e+03   8.375824e+00   0.000000e+00    935s
  667124    1.8025829e+03   5.940647e+00   0.000000e+00    940s
  669779    1.8025829e+03   1.655710e+01   0.000000e+00    945s
  672611    1.8025829e+03   6.490018e+00   0.000000e+00    950s
  675443    1.8025829e+03   1.020366e+01   0.000000e+00    955s
  678275    1.8025829e+03   1.363817e+01   0.000000e+00    960s
  681107    1.8025829e+03   1.477230e+01   0.000000e+00    965s
  683939    1.8025829e+03   1.932111e+01   0.000000e+00    970s
  686948    1.8025829e+03   9.650569e+00   0.000000e+00    975s
  689957    1.8025829e+03   7.115474e+00   0.000000e+00    980s
  693143    1.8025829e+03   1.680180e+01   0.000000e+00    985s
  696329    1.8025829e+03   7.161408e+00   0.000000e+00    990s
  699515    1.8025829e+03   5.385081e+00   0.000000e+00    995s
  702347    1.8025829e+03   6.470342e+00   0.000000e+00   1000s
  705179    1.8025829e+03   8.274931e+00   0.000000e+00   1005s
  708011    1.8025829e+03   6.497190e+00   0.000000e+00   1010s
  710843    1.8025829e+03   6.209527e+00   0.000000e+00   1015s
  713675    1.8025829e+03   1.435146e+01   0.000000e+00   1020s
  716330    1.8025829e+03   8.529179e+00   0.000000e+00   1025s
  719339    1.8025829e+03   6.610875e+00   0.000000e+00   1030s
  722348    1.8025829e+03   6.218261e+00   0.000000e+00   1035s
  725357    1.8025829e+03   8.572684e+00   0.000000e+00   1040s
  728366    1.8025829e+03   5.929367e+00   0.000000e+00   1045s
  731021    1.8025829e+03   5.370909e+00   0.000000e+00   1050s
  733853    1.8025829e+03   5.807205e+00   0.000000e+00   1055s
  736685    1.8025829e+03   6.128960e+00   0.000000e+00   1060s
  739517    1.8025829e+03   5.608662e+00   0.000000e+00   1065s
  742172    1.8025829e+03   6.008286e+00   0.000000e+00   1070s
  745004    1.8025829e+03   1.566277e+01   0.000000e+00   1075s
  747836    1.8025829e+03   5.264399e+00   0.000000e+00   1080s
  751022    1.8025829e+03   8.359501e+00   0.000000e+00   1085s
  753854    1.8025829e+03   7.942756e+00   0.000000e+00   1090s
